text,sentiment
"Good morning, ladies and gentlemen.",0.4404
Welcome to JPMorgan Chase's Third Quarter 2024 Earnings Call.,0.4588
This call is being recorded.,0.0
Your line will be muted for the duration of the call.,0.0
We will now go live to the presentation.,0.0
The presentation is available on JPMorgan Chase's website.,0.0
Please refer to the disclaimer in the back concerning forward-looking statements.,0.3182
Please standby.,0.3182
"At this time, I would like to turn the call over to JPMorgan Chase's Chairman and CEO, Jamie Dimon; and Chief Financial Officer, Jeremy Barnum.",0.3612
"Mr. Barnum, please go ahead.",0.3182
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co.,0.0
Thank you.,0.3612
"Thank you, and good morning, everyone.",0.6597
"Starting on Page 1, the firm reported net income of $12.9 billion, EPS of $4.37 on revenue of $43.3 billion with an ROTCE of 19%.",0.0
Touching on a couple of highlights.,0.0
"In CCB, we ranked number one in retail deposit share for the fourth straight year.",0.5267
"In CIB, both IB fees and Markets revenue were notably up year-on-year, reflecting strength across the franchise.",0.4939
"And in AWM, we had record quarterly revenues and record long-term flows.",0.0
"Now, turning to Page 2 for the firm-wide results.",0.0
"The firm reported revenue of $43.3 billion, up $2.6 billion or 6% year-on-year.",0.0
"NII ex-Markets was up $274 million or 1%, driven by the impact of balance sheet mix and securities reinvestment, higher revolving balances in Card and higher wholesale deposit balances, predominantly offset by lower deposit balances in banking and wealth management and deposit margin compression.",0.4939
"NIR ex-Markets was up $1.8 billion or 17%, but excluding the prior year's net investment securities losses, it was up 10% on higher asset management and investment banking fees.",0.3612
And markets revenue was up $535 million or 8% year- on-year.,0.0
"Expenses of $22.6 billion were up $808 million or 4% year-on-year, driven by compensation, including revenue-related compensation and growth in employees, partially offset by lower legal expense.",0.2263
"And credit costs were $3.1 billion, reflecting net charge-offs of $2.1 billion and a net reserve build of $1 billion, which included $882 million in Consumer, primarily in Card, and $144 million in Wholesale.",0.3818
"Net charge-offs were up $590 million year-on-year, predominantly driven by Card.",0.0
On to balance sheet and capital on Page 3.,0.0
"We ended the quarter with a CET1 ratio of 15.3%, flat versus the prior quarter as net income and OCI gains were offset by capital distributions and higher RWA.",0.34
This quarter's RWA reflects higher lending activity as well as higher client activity and market moves on the trading side.,0.2732
"We had $6 billion of net common share repurchases this quarter, which in part reflects the deployment of the proceeds from the share -- from the sale of Visa shares as we have previously mentioned.",0.6808
"Now let's go to our businesses, starting with CCB on Page 4.",0.0
"CCB reported net income of $4 billion on revenue of $17.8 billion, which was down 3% year-on- year.",0.0
"In Banking & Wealth Management, revenue was down 11% year-on-year, reflecting deposit margin compression and lower deposits, partially offset by growth in wealth management revenue.",0.7783
Average deposits were down 8% year-on-year and 2% sequentially.,0.0
"We are seeing a slowdown in customer yield seeking activity, including in CD volumes and expect deposits to be relatively flat for the remainder of the year.",0.0
"Client investment assets were up 21% year-on-year, driven by market performance, and we continue to see strong referrals of new wealth management clients from our branch network.",0.802
"In Home Lending, revenue was up 3% year-on-year, driven by higher NII, partially offset by lower servicing and production revenue.",-0.296
Turning to Card Services & Auto.,0.0
"Revenue was up 11% year-on-year, driven by higher Card NII and higher revolving balances.",0.0
Card outstandings were up 11% due to strong account acquisition and the continued normalization overall.,0.5106
"And in Auto, originations were $10 billion, down 2%, while maintaining strong margins and high quality credit.",0.7096
"Expenses of $9.6 billion were up 5% year-on-year, predominantly driven by higher field and technology compensation, as well as growth in marketing.",0.5719
"In terms of credit performance this quarter, credit costs were $2.8 billion, driven by Card and reflected net charge-offs of $1.9 billion, up $520 million year-on-year and a net reserve build of $876 million, predominantly from higher revolving balances.",0.6369
"Next, the Commercial & Investment Bank on Page 5.",0.0
The CIB reported net income of $5.7 billion on revenue of $17 billion.,0.0
IB fees were up 31% year-on-year and we ranked number one with year-to-date wallet share of 9.1%.,0.3612
"In Advisory, fees were up 10%, benefiting from the closing of a few large deals.",0.0
"Underwriting fees were up meaningfully with debt up 56% and equity up 26%, primarily driven by favorable market conditions.",0.1531
"In light of the positive momentum throughout the year, we're optimistic about our pipeline, but the M&A regulatory environment and geopolitical situation are continued sources of uncertainty.",-0.0387
"Payments revenue was $4.4 billion, up 4% year-on-year, driven by fee growth and higher deposit balances, largely offset by margin compression.",0.3818
Moving to Markets.,0.0
"Total revenue was $7.2 billion, up 8% year-on-year.",0.0
"Fixed Income was flat, reflecting outperformance in currencies and emerging markets and lower revenue and rates.",-0.296
"Equities was up 27%, reflecting strong performance across regions, largely driven by a supportive trading environment in the U.S. and increased late quarter activity in Asia.",0.765
"Securities Services revenue was $1.3 billion, up 9% year-on-year, largely driven by fee growth on higher market levels and volumes.",0.5859
Expenses of $8.8 billion were down 1% year-on-year with lower legal expense predominantly offset by higher revenue related compensation and growth in employees as well as higher technology spend.,0.4588
Average Banking & Payments loans were down 2% year-on-year and down 1% sequentially.,0.0
"In the middle market and large corporate client segments, we continue to see softness in both new loan demand and revolver utilization, in part due to clients' access to receptive capital markets.",-0.128
"In multifamily, while we are seeing encouraging signs in loan originations as long-term rates fall, we expect overall growth to remain muted in the near term as originations are offset by payoff activity.",0.7184
"Average client deposits were up 7% year-on-year and 3% sequentially, primarily driven by growth from large corporates and Payments and Securities Services.",0.5859
"Finally, credit costs were $316 million, driven by higher net lending activity, including end markets and downgrades, partially offset by improved macroeconomic variables.",0.6908
"Then to complete our lines of business, AWM on Page 6.",0.0
Asset & Wealth Management reported net income of $1.4 billion with pre-tax margin of 33%.,0.6908
"For the quarter, revenue of $5.4 billion was up 9% year-on-year, driven by growth in management fees on higher average market levels and strong net inflows, investment valuation gains compared to losses in the prior year and higher brokerage activity, partially offset by deposit margin compression.",0.6808
"Expenses of $3.6 billion were up 16% year-on-year, predominantly driven by higher compensation, including revenue-related compensation and continued growth in our private banking advisor teams, as well as higher distribution fees and legal expense.",0.6369
"For the quarter, long-term net inflows were $72 billion, led by fixed income and equities.",0.0
"And in liquidity, we saw net inflows of $34 billion.",0.0
"AUM of $3.9 trillion and client assets of $5.7 trillion were both up 23%, driven by higher market levels and continued net inflows.",0.1779
"And finally, loans were up 2% quarter-on-quarter and deposits were up 4% quarter-on-quarter.",0.0
Turning to Corporate on Page 7.,0.0
Corporate reported net income of $1.8 billion.,0.0
"Revenue was $3.1 billion, up $1.5 billion year-on-year.",0.0
"NII was $2.9 billion, up $932 million year-on-year, predominantly driven by the impact of balance sheet mix and securities reinvestment, including from prior quarters.",0.296
"NIR was a net gain of $155 million compared with a net loss of $425 million in the prior year, predominantly driven by lower net investment securities losses this quarter.",-0.1531
Expenses of $589 million were down $107 million year-on-year.,0.0
"To finish up, let's turn to the outlook on Page 8.",0.0
We now expect 2024 NII ex- Markets to be approximately $91.5 billion and total NII to be approximately $92.5 billion.,0.0
Our outlook for adjusted expense is now about $91.5 billion.,0.0
"And given where we are in the year, we included on the page the implied fourth quarter guidance for NII and adjusted expense.",0.0
And note that the NII numbers imply about $800 million of Markets NII in the fourth quarter.,0.0
"On credit, we continue to expect the 2024 Card net charge-off rate to be approximately 3.4%.",0.3818
"So to wrap-up, we're pleased with another quarter of strong operating performance.",0.7351
"As we look ahead to the next few quarters, we expect results will be somewhat challenged as normalization continues, but we remain upbeat and focused on executing in order to continue delivering excellent returns through the cycle.",0.8554
"And with that, let's open the line for Q&A.",0.0
Q&A Operator Thank you.,0.3612
Please standby.,0.3182
Our first question will come from the line of Jim Mitchell from Seaport Global Securities.,0.296
You may proceed.,0.0
"Jim Mitchell Analyst at Seaport Global Securities Hey, good morning.",0.6249
"So Jeremy, as you highlighted, full year NII guidance implies a sizable drop in Q4 NII ex-Markets about 6%.",-0.2732
"So, can you just may be discuss what are the largest drivers of the sequential decline, including any initial thoughts on deposit behavior and pricing since the 50 basis point cut?",-0.2732
"And since it's related, I'll just throw out my follow-up question.",0.0
"I realize the forward curve is moving around a lot, but since Dan brought it up a month ago, can you frame how you're thinking about the NII trajectory for '25?",0.0
Thanks.,0.4404
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Yeah.,0.296
"Sure, Jim.",0.3182
I'll try to sort of answer both questions together to the best of my ability.,0.7579
"So as we sit here today, the biggest single driver is -- of the sequential declines is in fact -- that we're expecting is in fact the yield curve.",0.0
"So that yield curve has changed a little bit since Daniel made his comments at the conference earlier in the quarter, but not that significantly.",0.0
"In terms of deposit balances, which is obviously another important factor here in light of the starting -- the cutting cycle, it feels to us like right now, as I mentioned in my prepared remarks for Consumer, we're pretty much in the trough right now as we speak.",0.7845
"When you look at yield-seeking behavior, that has come down quite a bit.",0.0
"So that's no longer as much of a headwind, all else being equal.",-0.3566
"And then if you look at checking account balances, those have been pretty stable for some time, which we see as an indication that consumers are kind of done spending now their cash buffers.",0.6597
So that's kind of supportive for consumer deposit balances.,0.228
"And in that context, the other relevant point is the CD mix where with the rate cuts coming, we expect the CD balances to price down with pretty high betas and probably the CD mix actually peaking around now.",0.25
"And then as you move to Wholesale, we've actually already been seeing a little bit of growth there.",0.3262
"And when you combine that with the sort of increasing view that many people in the market have, but it's likely that the end of QT will be announced sometime soon, that's also a little bit supportive for deposit balances.",0.801
"So maybe I'll -- well, I guess then you also asked me a little bit about next year.",0.2732
"So I guess one thing to say, right, is that we did have a sequential increase in NII this quarter.",0.3182
"And as you may recall, at Investor Day, I said that there was some chance that we would see sequential increases followed by sequential declines and that people should avoid kind of drawing the conclusion that we've hit the trough when that happened.",-0.0516
So that's essentially exactly what we're seeing now.,0.0
"But from where we sit now, given the yield curve, assuming the yield curve materializes, obviously, we do see a pretty clear picture of sequential declines in NII ex-Markets.",0.8271
"But the trough may be happening sometime in the middle of next year, at which point the combination of balances, Card revolve growth and other factors can return us to sequential growth, obviously.",0.7783
"We're guessing it's pretty far out in the future and we'll give you formal guidance on all this stuff next quarter, but I think that gives you a bit of a framework to work with.",0.2732
Jim Mitchell Analyst at Seaport Global Securities All right.,0.296
Thanks a lot.,0.4404
Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co.,0.0
Thanks.,0.4404
Operator Thank you.,0.3612
"Next, we'll go to the line of Steven Chubak with Wolfe Research.",0.0
You may proceed.,0.0
"Steven Chubak Analyst at Wolfe Research Hi, good morning.",0.4404
"So Jeremy... Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Good morning, Steve.",0.4404
"Steven Chubak Analyst at Wolfe Research I -- hi, how are you?",0.0
"So I did want to ask on expenses just in light of some of the comments that Daniel had made recently, just noting that consensus expense forecast for next year looked a little bit too light.",0.1477
"I believe at the time, it was just below $94 billion.",0.0
"If we adjust for the one-timers this year, that would suggest a core expense base that's just below $90 billion.",0.0
"So, a pretty healthy step-up in expenses.",0.7559
I know you've always had a strong commitment and discipline around investment.,0.7096
Just want to better understand where those incremental dollars are being deployed and just which investments are being prioritized in particular looking out to next year.,0.4939
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Sure.,0.3182
"So good question, and I agree with your numbers.",0.6901
I agree with the way you've normalized this year for the one-time type of significant items and also where the consensus was when Daniel made his comments.,0.5106
"And while we're at it, I would also just remind you on the NII comments.",0.0
"At the time, the consensus for this year was $91.5 billion and for next year, it was $90 billion.",0.0
"So that was implying at the time a sequential decline of $1.5 billion, and it was because we thought that decline wasn't big enough that we made the comments that we made.",0.0
So I'm happy to expand more on that.,0.7414
"But anyway, to expenses, yeah, so if you start for the sake of argument with the base of $90 billion, obviously, inflation is normalizing and obviously, we are always trying to generate efficiencies to offset inflation.",0.4497
"But that having been said, if you assume 3% for the sake of argument on that base, that's a few billion dollars right out of the gates that we're working against.",-0.5023
So that's one thing.,0.0
The other thing is that we have continued to execute on our growth strategies this year.,0.3818
So there's a not insignificant amount of annualization.,0.3181
You can't quite see that in the fourth quarter numbers because of the seasonality of incentive comp.,0.3612
"But if you were to strip that out, you would see probably some sequential increases.",0.0
"And so, annualization as an additional headwind.",0.0
The other thing that's worth noting is that we do expect fees and volume related businesses to grow next year.,0.2263
"And so all else being equal, that would come with a higher expense loading.",0.0
"So when you assemble all those, that goes a long way to explain why sort of that consensus number that was slightly below 94% just seemed light.",0.0772
"In terms of priorities and investments, really nothing has changed.",0.0
Like the strategy hasn't changed.,0.3612
"The strategy hasn't changed and the plans haven't changed, and we're just kind of executing with the same long-term perspective that we've always had.",0.0
"I would note that relative to NII, obviously, we're in the third quarter now and not the fourth quarter.",0.0
"And in the old days, we didn't used to give you the guidance until Investor Day in late February.",0.0
"So we will give you formal expense guidance next quarter for both -- well, for expenses and NII next quarter, but especially on expenses, we are in the middle of the budget cycle right now.",0.1406
So we probably have a little less visibility there than we do at the margin on NII.,0.0
"Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. And can I just give you just a view of expense a little bit like, you call expenses very often, I call investments.",0.3008
"As you actually go back to Investor Day, you'll see that we're adding private bankers in Asset & Wealth Management.",0.6908
We're adding ETF in Asset & Wealth Management.,0.6908
We're adding private bankers in international private banking.,0.0
We're growing Chase Wealth Management.,0.5994
We've added some branches across the United States of America.,0.4215
We think there are huge opportunities in innovation economy that takes bankers and certain technology and stuff like that.,0.8779
"Our goal is to gain share and everything we do, we get really good returns on it.",0.8313
So I look at that.,0.0
These are opportunities for us.,0.3818
These are not expenses that we have to actually punish ourselves on.,-0.5267
And we do get -- and we show you kind of extensively cost and productivity on various things.,0.0
And also AI is going to go up a little bit.,0.0
And I would put that as a category that's going to generate great stuff over time.,0.6249
"Steven Chubak Analyst at Wolfe Research No, thank you both for the color.",0.0772
Just a quick follow-up for me.,0.0
"Just drilling down into NII, it appears you redeployed a fair amount of cash or excess reserves at the Fed into securities.",0.5423
"We saw the yield expand, which was encouraging despite the pressure at both the long end and SOFR contraction in the quarter.",0.7641
I was hoping you could just speak to your appetite to extend duration in this environment.,0.5423
"I know that you've had some aversion to that in the past, but do you anticipate redeploying additional excess liquidity just amid the expectation for deeper rate cuts?",-0.5789
"Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Yeah, sure.",0.5423
"So on extending duration, Steve, you know this obviously, but I just think it's important to say that all else equal, extending duration doesn't change expected NII if you assume that the policy rate follows the forwards, right?",0.296
So point one.,0.0
"Point two, the curve remains inverted.",0.0
"And so even if you don't believe that the policy rate follows the forwards, extending right now is actually a headwind to short-term NII.",0.0
"Like that's not -- that wouldn't be a consideration for us either way, but I just think that's worth saying for the broader audience, it's quite different from the situation that you have with the numbers... Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. More into that 6% or so, right?",0.4767
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Yeah.,0.296
"Now, so when we -- so when we think about the question of extending duration and really managing duration right now, a couple of things to say.",0.0
"So obviously, a lot of different versions of duration, but one number that we disclose is the EaR.",0.1154
"When the 10-Q comes out, you'll see that, that number is a little bit lower.",-0.1585
It will come down from $2.8 billion to about $2.1 billion if our current estimates are correct.,0.0
"That's for a number of reasons, some of which are passive, but some of those are active choices to extend duration a little bit.",0.7311
"And in the end, the choice to manage and extend duration is really about balancing the volatility of NII against protecting the company from extreme scenarios on either side.",0.1779
"And so right now, if we wanted to extend as a result of different factors, we certainly could.",0.4767
We have the capacity inside the portfolio.,0.0
"But for now, we're comfortable with where we are.",0.6652
Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. And the one thing I can assure you is the forward curve will not be the same forward curve in six months.,0.34
"Steven Chubak Analyst at Wolfe Research Well, said.",0.2732
"Well, thank you so much for taking my questions.",0.5574
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co.,0.0
"Thanks, Steve.",0.4404
Operator Thank you.,0.3612
"Next, we will go to the line of Erika Najarian from UBS.",0.0
You may proceed.,0.0
"Erika Najarian Analyst at UBS Group My first question -- and thank you very much for answering all the NII questions so far, Jeremy.",0.3612
"It's just, I guess, another follow-up.",0.0
"As you can imagine, once Daniel said what he said on stage in September, everyone is trying to figure out the over/under for net interest income next year.",0.4588
"So, maybe a two-part first question, the second being inspired by what Jamie just said.",0.4939
"Number one, NII is expected to be down 6% sequentially in fourth quarter.",0.0772
"I think year-over-year in '25, consensus has it down 4% from your new level.",0.0
"So it sounds like consensus still has room to come down, and based on the forward curve, Jeremy, it could be a little bit worse year-over-year than the fourth quarter sequential rate.",-0.015
"But that being said, as Jamie noted, like we have no idea what the curve is going to look like, right?",0.5719
"I mean, it's gyrated so much.",0.0
"And so as we think about the curve, is it better for JPMorgan to have more cuts in the short end but steepness, or less cuts but a little bit of a flatter curve?",-0.4275
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co.,0.0
Right.,0.0
Okay.,0.2263
"You threw a curve ball at the end there, Erika.",0.0
I wasn't expecting that to be the end of your question.,0.0
But let me answer the beginning of your question and then I'll also answer the end of your question.,0.0
"So we see the current 2025 consensus for NII ex-Markets to be at -- currently at $87 billion, which is obviously lower than it was at the conference early in the quarter.",-0.296
So we're happy to see that move a little bit more in line to us.,0.6096
"That still looks a little toppy, but it's definitely in the ballpark.",0.5499
Now that consists of -- I already mentioned previously that we sort of expect the NII trough sometime in the middle of the year.,0.0
So you can kind of assemble the parts.,0.0
"You've got a fourth quarter run rate, you've got some sequential declines, you've got a trough in the middle of the year and you've got a rough ballpark for the full year, so you can imagine that the trough probably is a little lower than those numbers and then to the extent that growth revolve presumes in the back half of the year, both deposit balances and the ongoing tailwind of Card revolve, although that tailwind will be a little bit less than you might have otherwise thought -- I mean, sorry, a little bit less than it was this year, but still a tailwind.",0.0507
"Obviously, the mix of those things will play out in different ways.",0.34
"And as you point out, who knows what the yield curve will wind up doing.",0.0
"But on our current assumptions, on the current yield curve and remembering that we're in the third quarter now, so we're doing this kind of early, that's what we think.",0.0
"Now... Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. Could I just say some -- next time, we should give you the number.",0.0772
I don't want to spend all time in these calls like going through what they're guessing what NII is going to be next year.,0.3134
"And I just -- can I just also point out that NII, all things being equal, is a number, but all things are never equal.",0.0387
"And the yield curve -- if you have a recession, the effect of the yield curve will be very different than you have continued growth.",-0.0516
And there are decisions that are made non-stop by us and the thing that happened in the marketplace.,0.0
And I just -- I think we spend too much time on just this relevancy.,0.0
So you get a model -- a number in your model.,0.0772
"And so it's going to be less than $87 billion next year, probably not a lot, we don't know and we don't know the environment.",0.0
Jeremy Barnum Chief Financial Officer at JPMorgan Chase & Co. Good.,0.4404
Okay.,0.2263
"Now, to your question about the EaR.",0.0
So a few things to say in there.,0.0
"So as I already mentioned, we -- when that comes out, it will show a number of around $2.1 billion.",0.0772
"A very important thing to say is, as you know, the experience of this rate cycle has been that our empirical EaR is meaningfully higher than our modeled EaR, which is what we disclosed.",0.2716
"And the main reason for that is that retail deposit betas are -- have -- in actuality, even lower than the modeled deposit beta.",-0.296
"So as a starting point, you have to kind of adjust that EaR number to be bigger than the reported number for those and a few other reasons actually, there's some nuances around how the dollar, non-dollar sensitivity interact.",0.1531
"And then there's your question, which is a little bit about the front end versus the back end.",0.0
So what you see is that actually the front end EaR has gotten smaller and most of the EaR is now in the back end.,0.0
"So it's definitely the case that, all else being equal, a steeper curve is better for us.",0.7076
But I think what I would also say is that this kind of empirical versus theoretical adjustment is disproportionately in the front end.,0.0
"So therefore, in order to answer your question, I would say, yes, we want a steeper curve, but having the Fed cut more than what's currently in the yield curve is definitely at the margin from the context of next year's numbers, a headwind -- would be a headwind for us.",0.4404
We remain asset-sensitive to Fed cuts.,-0.296
"Erika Najarian Analyst at UBS Group And if I can ask my second question, and Jamie, I completely understand your frustration.",-0.5209
"And to be fair, your long-term shareholders really don't care about whether it's $87 billion or $85 billion, right?",-0.1547
They care about your return on equity.,0.4939
"To that end, I mean, it's insane how much capital you generate each quarter, 72 basis points this quarter.",-0.4019
"And so beyond the standard boilerplate questions you're going to get on buyback and organic growth, yada, yada, dividend increases, how should we think about JPMorgan deploying this capital?",0.3818
"I mean, the world is generally your oyster, right?",0.0
You're dominant already and you could use this capital to further enhance your business.,0.0
"And again, beyond that boilerplate conversation that you always get every quarter, how should your shareholders think about how you're thinking about the opportunities to deploy this capital?",0.3818
Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co.,0.0
Okay.,0.2263
"So first of all, when you say , I'd be very careful on that.",0.2247
We've got some very tough competition.,-0.2006
"Different countries, different around the world, fintech companies, direct lenders and MSP, I want to give you a very specific comment on direct lending and stuff like that.",0.4215
So our goal is always to serve our clients.,0.0
"And when I talk about some of these expenses, that is a deployment of capital.",0.0
"And it's a deployment in a different way because you open branches, you initially experience an expense, but down the road, you need capital supports, the deposits and same for the innovation economy, same for private bankers, etc.",0.7684
"If you look at it roughly, we have about a minimum $30 billion of excess capital.",0.0
"And for me, it's not burning a hole in my pocket.",0.0
I look at it as you own the whole company and you can't properly deploy it now is perfectly reasonable to wait.,0.6369
"And I've been quite clear that I think things -- the future could be quite turbulent and asset prices in my view and you -- in life, you've got to take a view sometimes, are inflated.",0.6865
"I don't know if they're extremely inflated or a little bit, but I prefer to wait.",0.0
We will be able to deploy it.,0.0
Our shareholders will be very well-served by just waiting.,0.0
"And same thing with deploying capital, we can buy -- we can go buy $100 billion, 6% mortgages, increase our net income by a couple of billion tomorrow.",0.3182
We don't make decisions like that.,-0.2755
"The most important thing we do is serve our clients well, build the technology and do things like that.",0.6901
And we also know what the real excess capital is yet.,0.0
So we're a little patient.,0.0
"We're going to be a little patient and wait, and it will be fine.",0.2023
And so that's where we are and that's not going to change.,0.0
"And if it changes, we'll let you know, right?",0.0
And we do talk to a lot of shareholders and they understand buying stock back at more than two times tangible book value is not necessarily the best thing to do because we think we'll have better opportunities to redeploy it or to buy back at cheaper prices at one point.,0.5472
Markets do not stay high forever.,0.0
Erika Najarian Analyst at UBS Group Thank you.,0.3612
Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. And one last thing.,0.0
Cash is a very valuable asset sometimes in a turbulent world.,0.7328
And you see my friend Warren Buffett stockpiling cash right now.,0.4939
"I mean, people should be a little more thoughtful about how we're trying to navigate in this world and grow for the long term for our company.",0.3848
Operator Thank you.,0.3612
Our next question comes from Glenn Schorr from Evercore ISI.,0.0
You may proceed.,0.0
"Glenn Schorr Analyst at Evercore ISI Hi, thanks very much.",0.4404
So glad Jamie didn't say what he's about to say because that's the answer to this question.,0.5095
So we've seen a couple more banks entering partnerships with alternative managers.,0.0
"We've seen limited loan growth for a few years now, market-related also.",0.1779
"Limited flows into fixed income funds, yet plenty of growth in private credit in general.",0.5106
"And you're one of the best asset managers on the planet, but in my view, less dominant in all things private credit.",0.775
"So maybe you could talk about what things you're working on and why that's too narrow, the view of your ability to serve all parts of clients' lending needs, not just the public markets and public lending side.",0.3182
Thanks.,0.4404
Jamie Dimon Chairman and Chief Executive Officer at JPMorgan Chase & Co. Yeah.,0.296
"So let me take time to cover this one because obviously, it is very -- become very important.",0.2716
"People are talking about how they're growing and partnering, and things like that.",0.4939
And so first and foremost -- I'm going to talk about very strategic and then very tactical.,0.0
I think they're both important.,0.2023
"First and foremost, we are here to give our clients an agnostic view of the world and what the best products and services are for them.",0.6369
"Therefore, when a client comes in, we will offer them both direct lending on ourselves and syndicated lending or other specialized kind of lending.",0.0
And they all have pluses and minuses.,0.0
"Direct lending could be done faster, maybe simpler covenants, unit tranche.",0.0
"It is more expensive and you're seeing little things go back and forth between syndicated lending and direct lending, but we're going to offer the clients basically what's in their best interest and tell them what those products are across the things.",0.8957
We mentioned before in the past that we allocated $10 billion of capital to make direct loans.,0.0
"We've actually deployed a lot of capital, some of this already been paid-off, some are done.",0.0
"So we are going to do it directly and we are going at $10 billion, could be $20 million or $30 billion, not limited today.",0.1695
"I will say today we're extending -- we will do $500 million, we will do $1 billion, we will do more billion, we'll do it sole-handed or do it with partners.",0.0
"Very importantly, we are not going to allocate ourselves to one partner.",0.3804
"So we have -- and I think we've announced a bunch of co-lenders, but that just creates more flexibility and more size.",0.7343
"We're not going to use that flexibility to slow it down, have to get permission for everybody because like I said, JPMorgan could underwrite it and own it like a bridge loan and syndicate it after the fact.",0.7506
So you could -- and we're going to use our own risk measures and stuff like that.,0.1027
"Again, all in the service of the client and making sure what we're offering them are the best thing.",0.7579
And we're going to different strategy.,0.0
We're not going to tie ourselves exclusively to one capital provider.,0.0
I think that would limit what we could offer our clients.,0.0
Probably we could be more price- competitive.,0.2449
We can do some of the very specific thing and not the solution that fits the third-party capital provider.,-0.2411
That's our strategy.,0.0
"We're going to be there, we're going to do it.",0.0
And we're going to do it in spite of the fact there's capital arbitrage taking place.,-0.5267
"So if you look at the arbitrage today, where the bank has to hold for things with an insurance guy, they are dramatically different.",0.0
